"","name","start","nation","product","dist","class","genre","director","people","screen","play"
"213","박스트롤",41949,"미국","","유니버설픽쳐스인터내셔널 코리아(유)","전체관람가","애니메이션,가족,어드벤처,코미디","그레이엄 애나블,안소니 스타치",102152,594,3572
"214","밤의 여왕",41564,"한국","(주)영화사아이비젼,(유)밤의여왕문화산업전문회사","(주)인벤트스톤","15세이상관람가","멜로/로맨스,코미디","김제영",252062,297,13283
"215","방황하는 칼날",41739,"한국","(주)에코필름","씨제이이앤엠(주)","청소년관람불가","범죄,스릴러","이정호",987420,1708,38839
"216","배우는 배우다",41571,"한국","(주) 루스이소니도스,(주)김기덕 필름","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","드라마","신연식",111927,423,9263
"217","배트맨 대 슈퍼맨: 저스티스의 시작",42453,"미국","","워너브러더스 코리아(주)","12세이상관람가","액션,어드벤처,판타지","잭 스나이더",2256656,380,95641
"218","백 투 더 비기닝",42061,"미국","","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","SF,스릴러","딘 이스라엘리트",266389,182,13838
"219","버드맨",42068,"미국","","이십세기폭스코리아(주)","청소년관람불가","코미디,드라마","알레한드로 곤잘레스 이냐리투",203508,393,11929
"220","버틀러: 대통령의 집사",41606,"미국","","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마,기타","리 다니엘스",126822,338,4927
"221","번개맨",42411,"한국","(주)드림써치C&C,한국교육방송공사 EBS","씨네그루(주)키다리이엔티","전체관람가","판타지,가족","조근현",69115,1115,4586
"222","베리 굿 걸",41907,"미국","","(주)영화사 빅","15세이상관람가","멜로/로맨스,드라마","나오미 포너",103467,925,10484
"223","베테랑",42221,"한국","(주)외유내강","씨제이이앤엠(주)","15세이상관람가","액션,드라마","류승완",12484077,219,171952
"224","변호인",41626,"한국","위더스필름(주)","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","양우석",10662988,219,135471
"225","보루토 - 나루토 더 무비",42348,"일본","","와이드 릴리즈(주)","12세이상관람가","애니메이션","야마시타 히로유키",64159,147,2688
"226","보이후드",41935,"미국","","유니버설픽쳐스인터내셔널 코리아(유)","15세이상관람가","드라마","리차드 링클레이터",181288,942,7543
"227","본 투 비 블루",42530,"캐나다","","그린나래미디어(주)","청소년관람불가","드라마","로버트 뷔드로",88076,136,4630
"228","봉이 김선달",42557,"한국","(주)엠픽처스,(주)에스엔케이픽처스","씨제이이앤엠(주)","12세이상관람가","사극","박대민",2044657,983,51366
"229","부활",42446,"미국","","유니버설픽쳐스인터내셔널 코리아(유)","12세이상관람가","드라마","케빈 레이놀즈",172898,238,8413
"230","분노의 질주: 더 세븐",42095,"미국","","유니버설픽쳐스인터내셔널 코리아(유)","15세이상관람가","액션,범죄,스릴러","제임스 완",3239996,648,92952
"231","분신사바 2",41836,"중국","","(주)팝엔터테인먼트","15세이상관람가","공포(호러),스릴러","안병기",79017,40,4415
"232","뷰티 인사이드",42236,"한국","(주)용필름","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","판타지,멜로/로맨스","백",2039579,287,52419
"233","브루클린",42481,"미국","","이십세기폭스코리아(주)","12세이상관람가","드라마,멜로/로맨스","존 크로울리",50404,207,2129
